"","site","stream","month","day","year","latitude","longitude","huc4","habitat_sampled_length_m","prosper_ma","MJJA_HIST","BFICat","ICI_v2_1","wet_dry","wet_dry_01","wet_wetdry_dry","mean_depth_m","max_depth_m","mean_width_m","depth_x_width_m2","discharge_m3_s","mean_velocity_m_s","percent_pool","percent_riffle","percent_run","wetted_area_m2","wetted_area_per100m","temp_c","conductivity","specific_cond","percent_do","do_mg_L","turbidity_cm","dom_substrate"
"86","PD3","Prairie Dog Creek",9,15,2023,44.94249,-106.8562,"1009",260,0.845193933,28.77975845,63.0327,0.550836292407476,"Wet",1,"Wet",NA,NA,5.3842857,NA,1.8762068,0.368,0,0,100,1229.766,472.987,14.5,421.2,527,81.3,8.28,15,"Sand, silt"
"87","PD4","Prairie Dog Creek",8,1,2023,44.70591,-106.85977,"1009",260,0.721599994,5.31946659,63,0.501307034984077,"Wet",1,"Wet",NA,NA,5.55,NA,2.2006156,0.570666667,1.7775265,15.8454446,82.3770288,1531.904,589.194,17.1,198.2,233.3,80.3,7.74,12,"Sand, silt, gravel"
"88","PD5","Prairie Dog Creek",7,31,2023,44.70353,-106.8548,"1009",260,0.708521204,4.22664452,63,0.467396389198626,"Wet",1,"Wet",NA,NA,4.5176923,NA,1.5747796,0.459333333,6.988626,18.3594565,74.6519175,1227.008,471.926,18.6,209,238.1,85.7,8.01,19,"Gravel, silt, cobble"
"89","PD6","Prairie Dog Creek",9,18,2023,44.66084,-106.83753,"1009",260,0.70095758,3.50980473,62.5685,0.491741027599875,"Wet",1,"Wet",NA,NA,4.0714286,NA,1.3388982,0.63,0,36.7232492,63.2767508,999.661,384.485,11.3,126.6,170.6,84.6,9.26,48,"Silt, cobble"
"90","PD7","Prairie Dog Creek",8,1,2023,44.6231,-106.84367,"1009",260,0.618466665,1.36110616,61.0884,0.499651268863195,"Wet",1,"Wet",NA,NA,4.9642857,NA,2.1003146,0.600666667,NA,NA,NA,NA,NA,16.7,76.4,90.8,86.9,8.46,16,"Silt, sand, gravel, cobble"
"91","RC1","Richeau Creek",7,24,2023,41.87839,-104.839,"1018",260,0.584042419,11.60043812,63.9078,0.441213226517365,"Wet",1,"Wet",0.14428571,0.38,1.7964286,0.25919898,0.01891589,0.103333333,28.8364849,47.5290869,23.6344282,509.164,195.832,20.1,519,573,107.6,9.74,95,"Silt, gravel, cobble"
"92","RC2","Richeau Creek",7,25,2023,41.86601,-104.84965,"1018",260,0.592430303,10.97392845,63.9779,0.743588784832822,"Dry",0,"WetDry",0.1466,0.6,3.81,0.558546,0.0048384,0.020666667,86.751995,4.5632485,8.6847565,783.718,301.43,18.1,357.8,412.6,57.9,5.48,95,"Silt, cobble, gravel"
"93","RC3","Richeau Creek",7,25,2023,41.86373,-104.85284,"1018",260,0.514442422,10.97392845,63.9779,0.743588784832822,"Dry",0,"WetDry",0.20314286,0.61,6.2842857,1.27660776,0.0018873,0.012666667,95.9537353,2.6793008,1.366964,1947.747,749.133,24.3,541,549,94.8,7.94,83.5,"Silt, cobble, gravel"
"94","RC4","Richeau Creek",9,8,2023,41.8276,-104.91803,"1018",260,0.561290915,8.71718502,62.5556,0.856374164409952,"Wet",1,"Wet",0.17271429,1.06,4.215,0.72799071,0.0130863,0.037333333,28.1885918,47.6341371,24.1772711,1057.183,406.609,14.4,396.3,496.6,73,7.44,95,"Silt, gravel, cobbles"
"95","E1","Pumpkin Creek",8,3,2023,46.25003,-105.75252,"1009",220,0.700957567,47.82262802,22.294,0.559775935323458,"Wet",1,"Wet",0.25983333,0.88,10.6,2.75423333,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,27.5,"Silt, boulders"
"96","E2","Pumpkin Creek",7,31,2023,46.21931,-105.66625,"1009",270,0.695042431,47.06578827,21.1005,0.543728174060432,"Wet",1,"Wet",0.35414286,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,16,"Silt/ mud, gravel"
"97","E2.5","Pumpkin Creek",8,2,2023,46.20432,-105.64584,"1009",270,0.66704242,43.48041916,22.346,0.465660787476268,"Dry",0,"WetDry",NA,NA,NA,NA,NA,NA,100,0,0,211.544,78.35,27,NA,NA,NA,NA,26,"Silt/ mud"
"98","E3","Pumpkin Creek",8,2,2023,46.05303,-105.57008,"1009",210,0.701490906,33.69603729,26,0.784010097765609,"Wet",1,"Wet",NA,0.28,NA,NA,NA,NA,0,0,100,354.235,168.683,25,NA,NA,NA,NA,64,"Silt/mud, macrophytes"
"99","E4","Pumpkin Creek",8,2,2023,45.93171,-105.64672,"1009",260,0.695406068,29.05254364,27.2113,0.805906034948574,"Dry",0,"WetDry",NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,5,"Silt/mud"
"100","E5","Pumpkin Creek",8,2,2023,45.71198,-105.73603,"1009",260,0.660575762,10.80870438,32.9143,0.7734400549228,"Wet",1,"Wet",0.28485714,0.63,NA,NA,NA,NA,0,0,100,2215.524,852.125,20,NA,NA,NA,NA,95,"Silt/mud, macrophytes"
