"id","year","month","decimallatitude","decimallongitude","sex","moistclimond","radclimond","temp","precipbioclim","pevapotranaotb","evapotransaotb","rhaotb","loc1","loc2","loc3","loc4","sample_age","pc.climate","pc1","pc2"
"SDMNH45806",1989,4,33.384018,-112.258998,"female",0.201146006584167,192.996139526367,21.5221042633057,171,80.524299621582,15.7519998550415,37,0.375079777972538,0.131234642126789,0.0953173473561204,0.107771425650015,23,1.13145569439064,1.13145569439064,-1.05944094147273
"LACM66499",1967,5,33.433144,-114.732426,"male",0.129457697272301,195.604141235352,22.6851863861084,73,104.302696228027,5.98729991912842,40,0.349277908267602,0.142953201869705,0.119183996494303,0.0986847239263804,45,1.33733922880638,1.33733922880638,-1.01003858819064
"FMNH20800",1896,4,33.44833,-112.06667,"female",0.221714049577713,192.270462036133,21.4382705688477,213,80.524299621582,15.7519998550415,37,0.280453488168273,0.146086237218814,0.106946517674554,0.105710362255332,116,1.13145569439064,1.13145569439064,-1.05944094147273
"CAS36194",1886,4,33.49586,-116.79252,"female",0.538034915924072,176.892471313477,13.7805023193359,507,62.8876991271973,26.8747005462646,61,0.275702047911189,0.127964312007011,0.0624074466841952,0.0695343996494303,126,0.442184054172433,0.44218405417243,-0.50725588000529
"WFVZ1821",1939,5,33.5242412,-114.59593,"male",0.138520687818527,195.173889160156,22.5020351409912,83,103.89769744873,7.04379987716675,40,0.302701697341513,0.130922491966111,0.106615188431201,0.105810017528484,73,1.31778069881136,1.31778069881136,-1.00144867310323
"UMMZ166636",1939,4,33.5333333,-114.65,"female",0.138520687818527,195.173889160156,22.5020351409912,77,103.89769744873,7.04379987716675,40,0.355018685363716,0.104684983932223,0.10261036809816,NA,73,1.31778069881136,1.31778069881136,-1.00144867310323
"MVZ11317",1887,6,33.540451,-117.782479,"female",0.369645059108734,173.103561401367,16.6303844451904,307,67.5772018432617,22.497200012207,63,0.325360850131464,0.108754014022787,0.081849421560035,0.085405898334794,125,0.495726449992593,0.49572644999259,-0.563462395330633
"MVZ76161",1887,8,33.540451,-117.782479,"male",0.369645059108734,173.103561401367,16.6303844451904,301,67.5772018432617,22.497200012207,63,0.229606494303243,0.112525597429156,0.0826028834355828,0.075868442886357,125,0.495726449992593,0.49572644999259,-0.563462395330633
"UMMZ166747",1931,5,33.5666667,-117.9166667,"female",0.361518412828445,173.00505065918,16.8908996582031,295,67.5772018432617,22.497200012207,64,0.215131042944785,0.103321454864154,0.0620496026877008,0.063685162138475,81,0.495726449992593,0.49572644999259,-0.563462395330633
"SDMNH48869",1994,4,33.6225529,-116.1281919,"male",0.128146424889565,183.508911132812,22.69287109375,63,106.877502441406,7.15030002593994,46,0.327220598889863,0.0904393017820625,0.0802164446392054,0.0821709669880222,18,1.05848411549602,1.05848411549602,-0.788009397552699
"SDMNH48870",1994,4,33.6225529,-116.1281919,"male",0.128146424889565,183.508911132812,22.69287109375,63,106.877502441406,7.15030002593994,46,0.364276523517382,0.11967787028922,0.0797775401694421,0.083980730353491,18,1.05848411549602,1.05848411549602,-0.788009397552699
"SDMNH48868",1994,4,33.6225529,-116.1281919,"female",0.128146424889565,183.508911132812,22.69287109375,63,106.877502441406,7.15030002593994,46,0.295336210926088,0.122180829681566,0.0644686561495764,0.0728532661408122,18,1.05848411549602,1.05848411549602,-0.788009397552699
"SDMNH53017",2011,4,33.65414,-116.51434,"male",0.52409565448761,178.600158691406,13.144947052002,322,52.5110015869141,16.9004993438721,55,0.412054688869413,0.110574466841951,0.0839602541630149,0.0763686473853346,1,0.462783191981131,0.462783191981127,-0.67855759526126
"UMMZ166761",1915,5,33.6666667,-116.6666667,"male",0.579882144927979,177.011337280273,12.0684509277344,497,52.5110015869141,16.9004993438721,57,0.285740934852468,0.10160887233421,0.0718701314636284,0.0479294127957932,97,0.462783191981131,0.462783191981127,-0.67855759526126
"LACM23551",1913,6,33.6675491,-111.1342773,"female",0.387863546609879,185.854522705078,17.3759078979492,398,91.1552963256836,30.0312995910645,41,0.33913887233421,0.15803,0.118919515045282,0.0941007946245983,99,0.962683012377876,0.962683012377875,-0.763273018386299
"UMMZ167021",1929,3,33.7116667,-108.7572222,"female",0.36829861998558,176.658401489258,9.15005493164062,400,53.2830009460449,31.1996994018555,45,0.339840073035349,0.136257589833479,0.0757020391469471,0.0904751855097867,83,0.427323127216895,0.427323127216894,-0.953872871581608
"UMMZ167020",1929,3,33.7116667,-108.7572222,"male",0.36829861998558,176.658401489258,9.15005493164062,400,53.2830009460449,31.1996994018555,45,0.296209237510956,0.139396888694128,0.0921003038270523,0.0994588723342098,83,0.427323127216895,0.427323127216894,-0.953872871581608
"UMMZ166972",1928,3,33.7116667,-108.7572222,"female",0.36829861998558,176.658401489258,9.15005493164062,400,53.2830009460449,31.1996994018555,45,0.38805789950336,0.145722877592755,0.0905583114227286,0.0889130148992113,84,0.427323127216895,0.427323127216894,-0.953872871581608
"UMMZ167019",1929,3,33.7116667,-108.7572222,"male",0.36829861998558,176.658401489258,9.15005493164062,400,53.2830009460449,31.1996994018555,45,0.311725176745545,0.153303085013146,0.0848327519719544,0.0822098860648554,83,0.427323127216895,0.427323127216894,-0.953872871581608
"UMMZ166973",1928,4,33.7116667,-108.7572222,"female",0.36829861998558,176.658401489258,9.15005493164062,400,53.2830009460449,31.1996994018555,45,0.3280125942156,0.157710902716915,0.0913707829389425,0.0896704645048203,84,0.427323127216895,0.427323127216894,-0.953872871581608
"UMMZ167018",1929,3,33.7116667,-108.7572222,"female",0.36829861998558,176.658401489258,9.15005493164062,400,53.2830009460449,31.1996994018555,45,0.321553011977797,0.157722789950336,0.0914617762196903,0.0894476278118609,83,0.427323127216895,0.427323127216894,-0.953872871581608
"MVZ67491",1934,6,33.7271,-109.2853,"male",0.539529740810394,175.908905029297,6.54660367965698,543,41.8602981567383,32.9583015441895,43,0.277194116272276,0.118247484662577,0.0855325387087351,0.0944584691790826,78,0.311240777585644,0.311240777585641,-0.865604823373376
"MVZ67492",1934,7,33.7271,-109.2853,"male",0.539529740810394,175.908905029297,6.54660367965698,543,41.8602981567383,32.9583015441895,43,0.260887049371896,0.131526619924043,0.0950105696757231,0.0767682267017236,78,0.311240777585644,0.311240777585641,-0.865604823373376
"SDMNH53145",2011,7,33.737786,-116.7,"male",0.579882144927979,177.011337280273,12.0684509277344,668,52.5110015869141,16.9004993438721,57,0.302459485831142,0.0709243382997371,0.0796097692082968,0.0862978439964944,1,0.462783191981131,0.462783191981127,-0.67855759526126
"SDMNH52987",2011,3,33.73959,-116.8381,"male",0.365154176950455,176.55583190918,17.1416416168213,340,52.5110015869141,16.9004993438721,59,0.30724901256208,0.0741606982179375,0.0764287846917908,0.0761529652351738,1,0.462783191981131,0.462783191981127,-0.67855759526126
"SDMNH52988",2011,3,33.73959,-116.8381,"male",0.365154176950455,176.55583190918,17.1416416168213,340,52.5110015869141,16.9004993438721,59,0.280237817703769,0.0951688664913818,0.0589543967280164,0.0542816944200993,1,0.462783191981131,0.462783191981127,-0.67855759526126
"SDMNH53522",2012,6,33.73975,-116.72596,"male",0.579882144927979,177.011337280273,12.0684509277344,640,52.5110015869141,16.9004993438721,57,0.289317677475898,0.12353708150745,0.0823802541630149,0.0703779959100205,0,0.462783191981131,0.462783191981127,-0.67855759526126
"SDMNH52974",2011,3,33.75185,-116.86626,"male",0.365154176950455,176.55583190918,17.1416416168213,361,52.5110015869141,16.9004993438721,59,0.379788390300906,0.125827522640958,0.067891878469179,0.0678386736780601,1,0.462783191981131,0.462783191981127,-0.67855759526126
"UMMZ166749",1913,6,33.7666667,-118.1833333,"male",0.380984991788864,172.343048095703,17.795259475708,306,71.0151977539062,19.3455009460449,67,0.180413143441426,0.0875230353491089,0.0665058428279287,0.0600879871457786,99,0.494862175884914,0.494862175884912,-0.512298394542544
"UMMZ166750",1913,6,33.7666667,-118.1833333,"male",0.380984991788864,172.343048095703,17.795259475708,306,71.0151977539062,19.3455009460449,67,0.234215679228746,0.0953613409290097,0.0460879257960853,0.0665761758691206,99,0.494862175884914,0.494862175884912,-0.512298394542544
"CAS82057",1892,6,33.78547,-116.95872,"male",0.365154176950455,176.55583190918,17.1416416168213,295,52.5110015869141,16.9004993438721,57,0.292962971078002,0.113987271399357,0.0653402044989775,0.060535083260298,120,0.462783191981131,0.462783191981127,-0.67855759526126
"UMMZ58986",1905,5,33.8108199,-118.2967341,"female",0.380984991788864,172.343048095703,17.795259475708,319,71.0151977539062,19.3455009460449,67,0.233513003213555,0.0729849313467718,0.0573441396435875,0.0547855886649138,107,0.494862175884914,0.494862175884912,-0.512298394542544
"SDMNH50316",1999,6,33.8296421,-117.0552063,"male",0.338452070951462,175.384613037109,17.414192199707,289,74.0619964599609,20.1683006286621,57,0.271913914694712,0.0926144902132632,0.0676099357288928,0.0668843353783231,13,0.585385447241575,0.585385447241573,-0.616795801794577
"UMMZ166760",1916,2,33.8833333,-117.5666667,"female",0.31452488899231,173.740188598633,17.8178863525391,244,67.5772018432617,22.497200012207,62,0.270912088810985,0.0935735232252411,0.07061393514461,NA,96,0.495726449992593,0.49572644999259,-0.563462395330633
"MVZ11310",1889,5,33.9492883,-117.4071573,"male",0.309260249137878,174.353454589844,17.7837314605713,258,74.0619964599609,20.1683006286621,59,0.193833312883436,0.0851505696757231,0.0664590271691499,0.0745557201285422,123,0.585385447241575,0.585385447241573,-0.616795801794577
"MVZ11308",1889,4,33.9492883,-117.4071573,"female",0.309260249137878,174.353454589844,17.7837314605713,258,74.0619964599609,20.1683006286621,59,0.260279287174993,0.092756885772714,0.0795553374233129,0.0630464183464797,123,0.585385447241575,0.585385447241573,-0.616795801794577
"MVZ11311",1889,6,33.9492883,-117.4071573,"female",0.309260249137878,174.353454589844,17.7837314605713,258,74.0619964599609,20.1683006286621,59,0.232029272567923,0.0988305959684487,0.0616869325153375,0.0671096874087058,123,0.585385447241575,0.585385447241573,-0.616795801794577
"MVZ11312",1889,6,33.9492883,-117.4071573,"female",0.309260249137878,174.353454589844,17.7837314605713,258,74.0619964599609,20.1683006286621,59,0.2123538913234,0.112733783231084,0.0689995471808355,0.0670414460999124,123,0.585385447241575,0.585385447241573,-0.616795801794577
"LACM15875",1929,5,33.9593544,-118.4330292,"male",0.397723436355591,172.419860839844,17.8515014648438,346,71.0151977539062,19.3455009460449,67,0.206213774466842,0.0728536546888694,0.0580939205375402,0.0641907741747006,83,0.494862175884914,0.494862175884912,-0.512298394542544
"LACM50803",1928,4,33.9593544,-118.4330292,"male",0.397723436355591,172.419860839844,17.8515014648438,346,71.0151977539062,19.3455009460449,67,0.226277434998539,0.0852277651183173,0.081445410458662,0.0827835845749342,84,0.494862175884914,0.494862175884912,-0.512298394542544
"LACM15874",1929,5,33.9593544,-118.4330292,"male",0.397723436355591,172.419860839844,17.8515014648438,346,71.0151977539062,19.3455009460449,67,0.222431238679521,0.0955500584282793,0.065731229915279,0.0593209231668127,83,0.494862175884914,0.494862175884912,-0.512298394542544
"SDMNH29724",1928,5,33.9980273,-118.3893585,"female",0.397723436355591,172.419860839844,17.8515014648438,347,71.0151977539062,19.3455009460449,67,0.24184839322232,0.0611710838445808,0.0500087233420976,0.0503475314052001,84,0.494862175884914,0.494862175884912,-0.512298394542544
"SDMNH45752",1989,4,34.019479,-119.6542,"male",0.53423,172.980408,14.523668,359,63.605701,23.857,70,0.308596985100789,0.0876096143733566,0.0698262167689161,0.0642978352322524,23,0.226421323923103,0.2264213239231,-0.342850451797328
"SDMNH45751",1989,4,34.019479,-119.6542,"male",0.53423,172.980408,14.523668,359,63.605701,23.857,70,0.313900067192521,0.112097890739118,0.0673065498101081,0.0653342915571137,23,0.226421323923103,0.2264213239231,-0.342850451797328
"LACM107301",1992,4,34.0333333,-118.05,"male",0.42425125837326,172.685989379883,18.1929416656494,378,65.0718002319336,26.6219997406006,65,0.295859246275197,0.0944174758983348,0.061958200408998,0.0779051241600935,20,0.468302120915918,0.468302120915916,-0.252982015511533
"LACM112731",2003,6,34.0347371,-118.7354278,"male",0.510505020618439,172.270843505859,16.128303527832,382,66.8272018432617,24.559700012207,66,0.324349956178791,0.120294849547181,0.0825364913818289,0.0972555682150161,9,0.444833860222595,0.444833860222594,-0.182557539499941
"WFVZ24679",1970,8,34.0430587,-118.8720703,"male",0.514872014522552,172.426345825195,15.4819002151489,415,66.8272018432617,24.559700012207,66,0.422954723926381,0.119526508910313,0.0862160093485247,0.0940676716330704,42,0.444833860222595,0.444833860222594,-0.182557539499941
"CAS82060",1896,6,34.05436,-117.65087,"male",0.396704375743866,173.959045410156,17.9419593811035,389,64.390998840332,26.3558006286621,61,0.225903090855974,0.10301913818288,0.0654785889570552,0.0714943996494303,116,0.473270433012481,0.47327043301248,-0.290396570171679
