year,female_id,offspring_year_fem,age_fem,inbreed_coef,first_nest,last_nest,breed_dur,terr_qual,dens_fem,dens_pop
1985,125158903,1,1,0,140,140,0,0.018586,71,214
1977,109137451,3,1,0,106,154,48,0.019179,45,189
1982,125160177,4,1,0,111,154,43,0.019281,26,130
1994,150159244,2,1,0,129,129,0,0.019286,52,181
1993,143173318,1,1,0,110,158,48,0.019294,42,163
1991,150156941,5,1,0,97,162,65,0.019375,28,100
1985,125159151,6,1,0.15625,106,149,43,0.019397,71,214
1977,109137472,3,1,0,101,143,42,0.01946,45,189
1994,150159271,2,1,0.074737549,107,163,56,0.01956,52,181
1986,125159471,3,1,0.01953125,124,162,38,0.019568,61,155
1982,125160182,1,1,0,112,137,25,0.019596,26,130
1993,145120455,4,1,0.040802002,104,146,42,0.019637,42,163
1982,125160194,6,1,0,104,142,38,0.019709,26,130
1992,142169630,0,1,0.211364746,99,149,50,0.019824,41,178
1984,125158853,0,1,0.0625,117,117,0,0.019906,53,231
1984,125158900,4,1,0,107,145,38,0.020031,53,231
1982,125160197,2,1,0,119,146,27,0.020058,26,130
1996,145162139,3,1,0.030899048,126,126,0,0.020171,46,155
1978,120130601,0,1,0,108,138,30,0.020499,48,209
2003,176124151,3,1,0.067552209,108,171,63,0.020515,27,105
1991,150147191,1,1,0.021484375,117,172,55,0.020588,28,100
1977,117174318,4,1,0,104,146,42,0.02065,45,189
1977,117174308,2,1,0,105,143,38,0.020674,45,189
1996,146164278,2,1,0.030487061,97,172,75,0.021074,46,155
1986,135102073,1,1,0,122,181,59,0.021087,61,155
2002,172168266,2,1,0.083879441,114,153,39,0.02114,26,102
1985,125158917,1,1,0.03515625,124,160,36,0.021823,71,214
1997,145162230,4,1,0.039627075,125,166,41,0.02189,41,197
1991,150147165,1,1,0.02734375,99,169,70,0.021956,28,100
1992,142169626,6,1,0,82,125,43,0.021998,41,178
1998,145162452,4,1,0.055015564,88,152,64,0.022012,31,130
1978,120130699,4,1,0,129,129,0,0.022034,48,209
1994,146164004,0,1,0.022598267,122,153,31,0.022135,52,181
1977,109137498,4,1,0,103,142,39,0.022454,45,189
2000,146130789,0,1,0.10655117,115,154,39,0.022483,15,69
1982,125160204,7,1,0,103,147,44,0.022735,26,130
1993,143173570,5,1,0,106,147,41,0.023128,42,163
1982,125160179,6,1,0,110,154,44,0.023135,26,130
1990,142169535,5,1,0.022949219,88,159,71,0.023136,10,69
1986,125159458,0,1,0.001953125,125,175,50,0.023305,61,155
1994,150159216,2,1,0.051055908,105,144,39,0.023513,52,181
2002,176124111,5,1,0,112,176,64,0.023516,26,102
1993,143173553,2,1,0,120,143,23,0.023731,42,163
1991,150156911,4,1,0.02734375,102,142,40,0.023743,28,100
1982,125160244,2,1,0,111,169,58,0.024087,26,130
1996,145162037,3,1,0.061889648,126,126,0,0.024175,46,155
1991,150156902,2,1,0.14855957,118,150,32,0.024249,28,100
2006,176124868,3,1,0.112075567,121,159,38,0.024266,34,89
2003,172168329,1,1,0.052678347,113,174,61,0.024266,27,105
1998,145162402,4,1,0.071974277,96,140,44,0.02436,31,130
1985,125159150,2,1,0.15625,135,135,0,0.024469,71,214
1995,146164145,6,1,0.110004425,113,147,34,0.025098,41,217
1991,150147166,1,1,0.02734375,103,168,65,0.025457,28,100
1993,143173306,3,1,0.048858643,105,130,25,0.025579,42,163
1986,125159457,1,1,0,111,142,31,0.025725,61,155
1998,146130301,1,1,0.074457169,108,108,0,0.026065,31,130
1983,125158763,6,1,0,80,155,75,0.026144,54,204
1985,125158953,3,1,0,129,129,0,0.026307,71,214
2002,172168054,4,1,0.076462269,111,147,36,0.026603,26,102
1997,145162225,3,1,0.013427734,117,168,51,0.026925,41,197
1977,109137444,3,1,0,109,139,30,0.027019,45,189
1978,120130661,5,1,0,94,173,79,0.027304,48,209
1993,143173551,4,1,0.152160645,102,179,77,0.027309,42,163
1997,145162315,1,1,0.093849182,115,149,34,0.028096,41,197
2008,226189123,1,1,0.08497406,111,140,29,0.028418,33,114
2004,176124303,6,1,0.061608747,102,169,67,0.028448,16,86
1978,120130604,6,1,0,104,140,36,0.029606,48,209
1992,142169614,3,1,0,85,113,28,0.029875,41,178
2006,176124883,3,1,0.066262179,120,151,31,0.03043,34,89
1992,145120621,0,1,0.14855957,89,158,69,0.030544,41,178
2002,172168057,3,1,0.080468178,113,147,34,0.030559,26,102
1991,150147192,1,1,0.021484375,99,169,70,0.030864,28,100
1992,142169619,0,1,0.032226563,99,161,62,0.030927,41,178
1991,150147170,4,1,0,150,183,33,0.031138,28,100
1990,142169559,12,1,0,92,164,72,0.031178,10,69
2005,176124642,3,1,0.045164481,97,121,24,0.031232,27,151
2000,146130772,3,1,0.114452362,94,163,69,0.031258,15,69
1985,125158938,0,1,0,114,176,62,0.031284,71,214
2004,176124292,2,1,0.051881552,96,137,41,0.031569,16,86
1993,143173319,3,1,0,133,133,0,0.031858,42,163
2006,196195812,2,1,0,124,124,0,0.032215,34,89
2008,226189072,1,1,0.101344873,127,127,0,0.032939,33,114
1982,125160195,7,1,0,106,144,38,0.032984,26,130
1982,125160176,3,1,0,125,170,45,0.033949,26,130
2001,172168043,6,1,0,98,147,49,0.034809,11,71
2004,176124417,6,1,0.053376436,102,168,66,0.034906,16,86
2006,176124828,3,1,0.067623034,120,151,31,0.035001,34,89
2006,176124870,5,1,0.043547712,106,139,33,0.035016,34,89
2002,172168084,2,1,0,107,165,58,0.03503,26,102
1986,135102071,1,1,0.0625,136,169,33,0.035169,61,155
2008,226189116,4,1,0.008697897,100,165,65,0.035509,33,114
2008,226189005,4,1,0.021835256,107,167,60,0.035822,33,114
1978,120130681,7,1,0,101,163,62,0.036198,48,209
2006,176124872,5,1,0,110,146,36,0.036388,34,89
2001,172168004,1,1,0.10655117,101,166,65,0.037016,11,71
