"id","year","month","decimallatitude","decimallongitude","sex","moistclimond","radclimond","temp","precipbioclim","pevapotranaotb","evapotransaotb","rhaotb","loc1","loc2","loc3","loc4","sample_age","pc.climate","pc1","pc2"
"MVZ123347",1951,3,30.766,-96.472,"female",0.765942,159.391,19.9826,976,88.9162,64.7848,69,0.309600613496932,0.205906517674554,0.112465384165936,0.0931776102833771,61,0.477295416555743,0.477295416555743,0.623424114334123
"MVZ178821",1993,3,38.8761,-75.9963,"female",0.915916,141.138,13.0126,1107,64.4812,60.347,67,0.299657811860941,0.123541276657902,0.0936272421852175,0.0732029418638621,19,0.0258455522555403,0.0258455522555393,0.639193909537529
"MVZ178822",1993,3,38.8761,-75.9963,"female",0.915916,141.138,13.0126,1107,64.4812,60.347,67,0.38347969033012,0.115036914986854,0.0941935495179667,0.0842266549810108,19,0.0258455522555403,0.0258455522555393,0.639193909537529
"MVZ50944",1927,4,27.3,-112.9,"female",0.153493,191.148,21.197,95,94.7078,8.8928,57,0.280370303827052,0.207116605316973,0.12295476774759,0.126707592754893,85,1.0048092163146,1.0048092163146,-0.777912787466772
"MVZ55648",1929,4,23.05,-109.6833,"female",0.285892,185.137,23.0478,208,99.7053,33.9682,68,0.273646751387672,0.251997090271691,0.103109906514753,0.104457277242185,83,0.900032033493631,0.90003203349363,-0.439971378034069
"MVZ55650",1929,4,23.05,-109.6833,"female",0.285892,185.137,23.0478,208,99.7053,33.9682,68,0.272055390008764,0.253863908851884,0.110712007011394,0.101757721297108,83,0.900032033493631,0.90003203349363,-0.439971378034069
"MVZ59847",1931,4,26.056667,-111.8172222,"female",0.25094,189.123,20.8507,208,83.2113,9.2637,60,0.286456444639205,0.245099935728893,0.10835955010225,0.115978930762489,81,0.909084619131677,0.909084619131675,-0.736073520939795
"MVZ59849",1931,4,26.056667,-111.8172222,"female",0.25094,189.123,20.8507,208,83.2113,9.2637,60,0.236019813029506,0.230260584282793,0.0856720858895705,0.0902858954133801,81,0.909084619131677,0.909084619131675,-0.736073520939795
"MVZ59850",1931,4,26.056667,-111.8172222,"female",0.25094,189.123,20.8507,208,83.2113,9.2637,60,0.230825468886941,0.164428177037686,0.105707768039731,0.106652830850131,81,0.909084619131677,0.909084619131675,-0.736073520939795
"MVZ76565",1897,4,23.05,-109.6833,"female",0.285892,185.137,23.0478,208,99.7053,33.9682,68,0.320134034472685,0.280034011101373,0.111369699094362,0.126416468010517,115,0.900032033493631,0.90003203349363,-0.439971378034069
"MVZ105105",1910,4,27.84833,-101.12,"female",0.33027,161.489,21.8472,445,97.5863,39.385,60,0.28923750219106,0.189076368682442,0.0925223342097576,0.0983437277242185,102,0.801398410858198,0.801398410858196,-0.524522784482168
"MVZ105112",1929,4,27.224722,-112.2222222,"female",0.164442,191.894,22.8503,122,108.762,9.1375,57,0.261315787321063,0.226078784691791,0.118396722173532,0.128018714577856,83,1.14007710227169,1.14007710227169,-0.734685571795251
"MVZ107823",1919,4,39.1005,-94.5785,"female",0.846062,145.879,12.9093,966,65.9045,59.0277,67,0.264322304995618,0.135216576102834,0.10236640373941,0.098996394975168,93,0.0984776493991582,0.0984776493991578,0.494272183546936
"MVZ116370",1949,4,33.5893,-110.0125,"female",0.438211,181.511,12.114,522,66.7288,36.4148,43,0.232563812445223,0.215661133508618,0.109810961145194,0.11441967572305,63,0.664428298692035,0.664428298692033,-0.865131896204095
"MVZ123349",1951,4,30.22594,-97.7903,"female",0.612473,162.12,20.0008,826,89.2303,58.1,68,0.367732766579024,0.142850812153082,0.0989180543382998,0.0937166841951504,61,0.524299630952707,0.524299630952706,0.171744810187357
"MVZ129036",1953,4,30.51509,-96.20343,"female",0.785706,159.063,19.9835,1028,88.9162,64.7848,69,0.378627551855098,0.160199219982471,0.126181898919077,0.167698279287175,59,0.477295416555743,0.477295416555743,0.623424114334123
"MVZ178823",1992,4,38.8761,-75.9963,"female",0.915916,141.138,13.0126,1107,64.4812,60.347,67,0.344605308209173,0.139454718083553,0.102379488752556,0.0870564475606193,20,0.0258455522555403,0.0258455522555393,0.639193909537529
"MVZ178829",1991,4,38.7841,-76.2224,"female",0.925736,141.796,13.4925,1105,64.481201,60.347,67,0.37678757522641,0.103660075956763,0.0954188723342098,0.105192258252994,21,0.0422300909458595,0.0422300909458583,0.618850314235218
"MVZ178837",1986,4,38.7716,-76.0709,"female",0.928048,141.676,13.3794,1113,64.481201,60.347,67,0.28623291849255,0.168453932223196,0.110355799006719,0.0898392112182296,26,0.0422300909458595,0.0422300909458583,0.618850314235218
"MVZ178838",1998,4,38.7716,-76.0709,"female",0.928048,141.676,13.3794,1113,64.481201,60.347,67,0.333208527607362,0.133114697633655,0.092945004382121,0.0764381595092025,14,0.0422300909458595,0.0422300909458583,0.618850314235218
"MVZ50946",1927,5,27.224722,-112.2222222,"female",0.164442,191.894,22.8503,122,108.762,9.1375,57,0.223838331872626,0.161820572597137,0.119166900379784,0.121526441717791,85,1.14007710227169,1.14007710227169,-0.734685571795251
"MVZ50947",1927,5,27.224722,-112.2222222,"female",0.164442,191.894,22.8503,122,108.762,9.1375,57,0.239804989775051,0.174047703768624,0.118438860648554,0.100425845749343,85,1.14007710227169,1.14007710227169,-0.734685571795251
"MVZ50950",1927,5,27.224722,-112.2222222,"female",0.164442,191.894,22.8503,122,108.762,9.1375,57,0.25057112766579,0.186847896581946,0.157236985100789,0.115557364884604,85,1.14007710227169,1.14007710227169,-0.734685571795251
"MVZ50953",1927,5,27.3,-112.9,"female",0.153493,191.148,21.197,95,94.7078,8.8928,57,0.249417329827637,0.212432211510371,0.105131668127374,0.104775626643295,85,1.0048092163146,1.0048092163146,-0.777912787466772
"MVZ58162",1931,5,33.18194,-110.43444,"female",0.318505,184.073,18.4322,366,82.8575,29.0448,42,0.258328711656442,0.204959260882267,0.101074744376278,0.130614773590418,81,0.864796128511364,0.864796128511363,-0.858094640854708
"MVZ59854",1931,5,24.541667,-111.5083333,"female",0.162014,188.504,21.3043,65,99.0925,11.9455,71,0.228721630148992,0.148833499853929,0.0969996786444639,0.113961475314052,81,0.906913899278248,0.906913899278248,-0.578689017866491
"MVZ105109",1939,5,31.7171,-110.8768,"female",0.368574,183.641,16.4301,553,69.0058,36.057,41,0.275576406660824,0.176625495179667,0.0985599678644463,0.104158314344143,73,0.815560654877923,0.81556065487792,-0.928947792571567
"MVZ43831",1896,6,23.178333,-109.7011111,"female",0.315035,184.86,23.1052,266,99.7053,33.9682,66,0.262210888109845,0.174835264387964,0.120603669295939,0.117378074788198,116,0.900032033493631,0.90003203349363,-0.439971378034069
"MVZ55653",1929,6,23.441944,-109.7747222,"female",0.305245,185.008,23.1666,344,99.7053,33.9682,62,0.255067911189016,0.238270657318142,0.120653517382413,0.136106955886649,83,0.900032033493631,0.90003203349363,-0.439971378034069
"MVZ55655",1929,6,23.441944,-109.7747222,"female",0.305245,185.008,23.1666,344,99.7053,33.9682,62,0.260516599474145,0.25494569675723,0.124285991820041,0.143708559742916,83,0.900032033493631,0.90003203349363,-0.439971378034069
"MVZ55657",1929,6,23.441944,-109.7747222,"female",0.305245,185.008,23.1666,344,99.7053,33.9682,62,0.317475360794625,0.262053464796962,0.116382009932808,0.135444262342974,83,0.900032033493631,0.90003203349363,-0.439971378034069
