.draw,method,effect,estimate
71,GAM bootstrap,Total effect,6.653820013215587
71,GAM bootstrap,Controlled direct effect,2.007644810105915
71,GAM bootstrap,Indirect effect,4.646175203109673
72,GAM bootstrap,Total effect,5.214320659425197
72,GAM bootstrap,Controlled direct effect,2.119753580736518
72,GAM bootstrap,Indirect effect,3.0945670786886788
73,GAM bootstrap,Total effect,5.400626664522358
73,GAM bootstrap,Controlled direct effect,2.043701702027904
73,GAM bootstrap,Indirect effect,3.356924962494454
74,GAM bootstrap,Total effect,6.0460397034232365
74,GAM bootstrap,Controlled direct effect,2.047470019145328
74,GAM bootstrap,Indirect effect,3.9985696842779084
75,GAM bootstrap,Total effect,6.898682061712561
75,GAM bootstrap,Controlled direct effect,2.0640310373581356
75,GAM bootstrap,Indirect effect,4.834651024354425
76,GAM bootstrap,Total effect,6.000039861128645
76,GAM bootstrap,Controlled direct effect,2.012673780740324
76,GAM bootstrap,Indirect effect,3.987366080388321
77,GAM bootstrap,Total effect,5.180067853495591
77,GAM bootstrap,Controlled direct effect,1.502482396768949
77,GAM bootstrap,Indirect effect,3.677585456726642
78,GAM bootstrap,Total effect,7.0857413327910646
78,GAM bootstrap,Controlled direct effect,2.4376165533259817
78,GAM bootstrap,Indirect effect,4.648124779465083
79,GAM bootstrap,Total effect,7.450247930187107
79,GAM bootstrap,Controlled direct effect,1.828767357623767
79,GAM bootstrap,Indirect effect,5.62148057256334
80,GAM bootstrap,Total effect,6.63207975049276
80,GAM bootstrap,Controlled direct effect,1.9988215476275668
80,GAM bootstrap,Indirect effect,4.633258202865194
81,GAM bootstrap,Total effect,7.288846530542847
81,GAM bootstrap,Controlled direct effect,3.0785903396754586
81,GAM bootstrap,Indirect effect,4.210256190867389
82,GAM bootstrap,Total effect,6.861363895635087
82,GAM bootstrap,Controlled direct effect,2.086933942886242
82,GAM bootstrap,Indirect effect,4.774429952748845
83,GAM bootstrap,Total effect,5.304161967406746
83,GAM bootstrap,Controlled direct effect,1.99434177110739
83,GAM bootstrap,Indirect effect,3.3098201962993565
84,GAM bootstrap,Total effect,7.954559721552764
84,GAM bootstrap,Controlled direct effect,2.3165800041919127
84,GAM bootstrap,Indirect effect,5.637979717360851
85,GAM bootstrap,Total effect,5.529635681130789
85,GAM bootstrap,Controlled direct effect,2.0866746792953323
85,GAM bootstrap,Indirect effect,3.4429610018354566
86,GAM bootstrap,Total effect,5.484421545814907
86,GAM bootstrap,Controlled direct effect,1.763587375104252
86,GAM bootstrap,Indirect effect,3.7208341707106554
87,GAM bootstrap,Total effect,6.8059715375474585
87,GAM bootstrap,Controlled direct effect,1.781822531508272
87,GAM bootstrap,Indirect effect,5.0241490060391865
88,GAM bootstrap,Total effect,6.441820673150309
88,GAM bootstrap,Controlled direct effect,1.9207006952416088
88,GAM bootstrap,Indirect effect,4.5211199779087
89,GAM bootstrap,Total effect,5.6925907373101285
89,GAM bootstrap,Controlled direct effect,2.2962342206209447
89,GAM bootstrap,Indirect effect,3.396356516689184
90,GAM bootstrap,Total effect,5.564059169351637
90,GAM bootstrap,Controlled direct effect,1.8692437848417929
90,GAM bootstrap,Indirect effect,3.694815384509844
91,GAM bootstrap,Total effect,6.5890084864680745
91,GAM bootstrap,Controlled direct effect,2.022038368362777
91,GAM bootstrap,Indirect effect,4.5669701181052975
92,GAM bootstrap,Total effect,6.123107309993461
92,GAM bootstrap,Controlled direct effect,2.267251206789295
92,GAM bootstrap,Indirect effect,3.8558561032041663
93,GAM bootstrap,Total effect,5.023311443487903
93,GAM bootstrap,Controlled direct effect,1.766752156077319
93,GAM bootstrap,Indirect effect,3.256559287410584
94,GAM bootstrap,Total effect,5.745890839366277
94,GAM bootstrap,Controlled direct effect,2.7180007047946786
94,GAM bootstrap,Indirect effect,3.0278901345715985
95,GAM bootstrap,Total effect,5.120107426674947
95,GAM bootstrap,Controlled direct effect,1.5578371909200115
95,GAM bootstrap,Indirect effect,3.5622702357549354
96,GAM bootstrap,Total effect,6.290849625162915
96,GAM bootstrap,Controlled direct effect,2.2412763169191705
